,Table,Catalogue,Data Item Description,Series Type,Series ID,Freq.,Series Start,Series End,No. Obs.,Unit,Data Type,Collection Month
100348,All WPI Series: Original (Financial Year Index Numbers for year ended June quarter),"6345.0 Wage Price Index, Australia",Financial Year Index ;  Ordinary time hourly rates of pay excluding bonuses ;  Australian Capital Territory ;  Private and Public ;  All industries ;,Original,A2712642A,Annual,1998-06-01,2023-06-01,26,Index Numbers,INDEX,6
100442,All WPI Series: Original (Quarterly Index Numbers),"6345.0 Wage Price Index, Australia",Quarterly Index ;  Total hourly rates of pay excluding bonuses ;  New South Wales ;  Public ;  All industries ;,Original,A2599999R,Quarter,1997-09-01,2023-12-01,106,Index Numbers,INDEX,3
497,"Key data by industry division, Total selected industries (excl. K), 2021-22",8155.0 Australian Industry,"Employment at end of June ;  Transport, postal and warehousing ;",Original,A130084131V,Annual,2007-06-01,2022-06-01,16,000,STOCK,6
1362,"Key data by industry subdivision, Accommodation and food services, 2021-22",8155.0 Australian Industry,Wages and salaries (including capitalised wages) ;  SA ;  Accommodation and food services ;,Original,A130122266W,Annual,2008-06-01,2022-06-01,15,$ Millions,FLOW,6
1046,"Key data by industry subdivision, Administrative and support services, 2021-22",8155.0 Australian Industry,Wages and salaries (including capitalised wages) ;  SA ;  Administrative and support services ;,Original,A130125680J,Annual,2008-06-01,2022-06-01,15,$ Millions,FLOW,6
921,"Key data by industry subdivision, Agriculture, forestry and fishing, 2021-22",8155.0 Australian Industry,Earnings before interest tax depreciation and amortisation ;  01 Agriculture ;,Original,A130076713V,Annual,2007-06-01,2022-06-01,16,$ Millions,FLOW,6
323,"Key data by industry subdivision, Arts and recreation services, 2021-22",8155.0 Australian Industry,Wages and salaries (including capitalised wages) ;  90 Creative and performing arts activities ;,Original,A130072471T,Annual,2007-06-01,2022-06-01,16,$ Millions,FLOW,6
733,"Key data by industry subdivision, Auxiliary finance and insurance services, 2021-22",8155.0 Australian Industry,Employment at end of June ;  64 Auxiliary finance and insurance services ;,Original,A130110331J,Annual,2007-06-01,2022-06-01,16,000,STOCK,6
1584,"Key data by industry subdivision, Construction, 2021-22",8155.0 Australian Industry,Employment at end of June ;  ACT ;  Construction ;,Original,A130121761L,Annual,2008-06-01,2022-06-01,15,000,STOCK,6
1707,"Key data by industry subdivision, Education and training (private), 2021-22",8155.0 Australian Industry,"Earnings before interest tax depreciation and amortisation ;  82 Adult, community and other education (private) ;",Original,A130072033T,Annual,2007-06-01,2022-06-01,16,$ Millions,FLOW,6
