"Taxation revenue for all levels of government as a percentage of GDP (a)"
,"% of GDP"
"2014-15","27.3"
"2015-16","28.0"
"2016-17","27.7"
"2017-18","28.7"
"2018-19","28.8"
"2019-20","27.8"
"2020-21","28.4"
"2021-22","29.3"
"2022-23","29.4"
"2023-24","30.0"

"a. using the GDP annual, current prices series as published in Table 36 in the December quarter 2024 issue in Australian National Accounts: National Income, Expenditure and Product."

"Source: Australian Bureau of Statistics, Taxation Revenue, Australia 2023-24 financial year"
